df2_title	df2_name_parts	df1_title	df1_name_parts
Louis Friedsell	{"given-name": "Louis", "surname": "Friedsell"}	iuys rydzei	{"given-name": "iuys", "surname": "rydzei"}
Yakov Fuchs	{"given-name": "Yakov", "surname": "Fuchs"}	yekb uks	{"given-name": "yekb", "surname": "uks"}
Harry Gabel	{"given-name": "Harry", "surname": "Gabel"}	hery gevyi	{"primary-name": "hery gevyi", "given-name": "hery", "surname": "gevyi"}
Max Gabel	{"given-name": "Max", "surname": "Gabel"}	maks (mnkhm-mendei gevyi	{"given-name": "mnkhm-mendei", "alternative-name": "maks", "surname": "gevyi"}
Polia Galinski	{"given-name": "Polia", "surname": "Galinski"}	piy (shiugiyt) gaiynsky	{"primary-name": "gaiynsky", "given-name": "poiy", "alternative-name": "shiugiyt", "surname": "gaiynsky"}
Jacob Gartenstein	{"given-name": "Jacob", "surname": "Gartenstein"}	yekb (hrtenshteyn) gartensheeyn	{"given-name": "yekb", "alternative-name": "hrtenshteyn", "surname": "gartensheeyn"}
Roza Gazel	{"given-name": "Roza", "surname": "Gazel"}	roza (znyk) gzei	{"given-name": "roza", "alternative-name": "znyk", "surname": "gazei"}
Marcus Gazovsky	{"given-name": "Marcus", "surname": "Gazovsky"}	markus (mendeie) gazovsky	{"given-name": "markus", "alternative-name": "mendeie", "surname": "gazvsky"}
Lucy German	{"given-name": "Lucy", "surname": "German"}	iusy (iosha kutner) german	{"given-name": "iosha", "alternative-name": "iusy", "surname": "german", "patronymic": "kutner"}
Misha German	{"given-name": "Misha", "surname": "German"}	myshe (herman) german	{"given-name": "myshe", "alternative-name": "herman", "surname": "german"}
M. Gershoy	{"given-name": "M.", "surname": "Gershoy"}	m (mshh gershoyg) gershoy	{"given-name": "mshh", "alternative-name": "gershoy", "surname": "gershoyg", "acronym": "m"}
Sam Gerstenzang	{"given-name": "Sam", "surname": "Gerstenzang"}	sem (shmui) gershtenzang	{"given-name": "shmui", "alternative-name": "sem", "surname": "gershtenzang"}
Jennie Gertner	{"given-name": "Jennie", "surname": "Gertner"}	dzheny (sheyndi shtern) gertner	{"given-name": "dzheny", "alternative-name": "sheyndi", "surname": "gertner"}
M. Gertz	{"given-name": "M.", "surname": "Gertz"}	m (moshkovytsh) gerts	{"alternative-name": "moshkovytsh", "surname": "gerts", "acronym": "m"}
Jan Getsman	{"given-name": "Jan", "surname": "Getsman"}	zhan (shmui yekb) getsman	{"given-name": "shmui", "alternative-name": "zhan", "middle-name": "yekb", "surname": "getsman"}
Michael Gibson	{"given-name": "Michael", "surname": "Gibson"}	mykhi (gzhybovytsh) gyvson	{"given-name": "mykhi", "alternative-name": "gzhybovytsh", "surname": "gyvson"}
Yaakov Ber Gimpel	{"given-name": "Yaakov", "middle-name": "Ber", "surname": "Gimpel"}	yekb-ver gympei	{"primary-name": "yekb-ver"}
Sara Ginter	{"given-name": "Sara", "surname": "Ginter"}	sara (meysterman) gynter	{"given-name": "sara", "alternative-name": "meysterman", "surname": "gynter"}
Sonya Gintsburg	{"given-name": "Sonya", "surname": "Gintsburg"}	sonya (shrh tshereshnya) gyntsvurg	{"given-name": "sonya", "alternative-name": "shrh tshereshnya", "surname": "gyntsvurg"}
Barukh Glazman	{"given-name": "Barukh", "surname": "Glazman"}	naum (nkhmn giazman) giazunov	{"primary-name": "naum", "alternative-name": "nkhmn giazman", "surname": "giazunov"}
Betty Glazunov	{"given-name": "Betty", "surname": "Glazunov"}	vetye (buntse teykyn) giazunov	{"given-name": "vetye", "alternative-name": "buntse teykyn", "surname": "giazunov"}
Malvina Glikman	{"given-name": "Malvina", "surname": "Glikman"}	maivyne (iksboym) giykman	{"primary-name": "giykman", "given-name": "maivyne", "alternative-name": "iksboym"}
Stefanie Glimer	{"given-name": "Stefanie", "surname": "Glimer"}	steanye (shteyf) giymer	{"given-name": "steanye", "alternative-name": "shteyf", "surname": "giymer"}
Clara Gold	{"given-name": "Clara", "surname": "Gold"}	kiara (biank) goid	{"primary-name": "kiara", "alternative-name": "biank", "surname": "goid"}
Herman Gold	{"given-name": "Herman", "surname": "Gold"}	herman (hii gurny) goid	{"primary-name": "herman", "alternative-name": "hii gurny", "surname": "goid"}
Leon Gold	{"given-name": "Leon", "surname": "Gold"}	ien (ieyveie goidvog) goid	{"given-name": "ieyveie", "alternative-name": "ien", "surname": "goid", "patronymic": "goidvog"}
Nyusya Gold	{"given-name": "Nyusya", "surname": "Gold"}	nyusya (mysy doidberg) goid	{"given-name": "nyusya", "alternative-name": "mysy", "surname": "goid"}
Stella Gold	{"given-name": "Stella", "surname": "Gold"}	steia (toitse shtoitsengoid) goid	{"given-name": "steia", "alternative-name": "toitse shtoitsengoid", "surname": "goid"}
Tsila Gold	{"given-name": "Tsila", "surname": "Gold"}	tsyie (tsbyh grut) goid	{"given-name": "tsbyh", "alternative-name": "tsyie", "surname": "goid", "matronymic": "grut"}
Louis Goldberg	{"given-name": "Louis", "surname": "Goldberg"}	iuys (ieybush) goidverg	{"given-name": "iuys", "alternative-name": "ieybush", "surname": "goidverg"}
Rose Goldberg	{"given-name": "Rose", "surname": "Goldberg"}	roz (ynkenti) goidverg	{"primary-name": "goidverg", "given-name": "roz", "alternative-name": "ynkenti", "surname": "goidverg"}
Hershl Goldenberg	{"given-name": "Hershl", "surname": "Goldenberg"}	hershi (kaiygraf) goidenvurg	{"given-name": "hershi", "alternative-name": "kaiygraf", "surname": "goidenvurg"}
Shifra Goldenberg	{"given-name": "Shifra", "surname": "Goldenberg"}	shrh (hazenberg) goidenvurg	{"given-name": "shrh", "alternative-name": "hazenberg", "surname": "goidenvurg"}
Abraham Goldfaden	{"given-name": "Abraham", "surname": "Goldfaden"}	brhm (goidenodym) goidaden	{"given-name": "brhm", "alternative-name": "goidenodym", "surname": "goidaden"}
Naftali Goldfaden	{"given-name": "Naftali", "surname": "Goldfaden"}	nsiy (goidenodym) goidaden	{"given-name": "nsiy", "alternative-name": "goidenodym", "surname": "goidaden"}
Paulina Goldfaden	{"given-name": "Paulina", "surname": "Goldfaden"}	puiyne (poiye verbei) goidaden	{"primary-name": "goidaden", "given-name": "puiyne", "alternative-name": "poiye", "surname": "goidaden"}
Shimi Goldfaden	{"given-name": "Shimi", "surname": "Goldfaden"}	shmeyh (goidenodym) goidaden	{"given-name": "shmeyh", "alternative-name": "goidenodym", "surname": "goidaden"}
Sidney Goldin	{"given-name": "Sidney", "surname": "Goldin"}	sydny (samuei goidshteyn) goidyn	{"given-name": "sydny", "alternative-name": "samui", "surname": "goidyn", "patronymic": "goidshteyn"}
Yechiel Goldsmith	{"given-name": "Yechiel", "surname": "Goldsmith"}	ykhyi voym	{"given-name": "ykhyi", "surname": "voym"}
B.I. Goldstein	{"given-name": "B.I.", "surname": "Goldstein"}	b y (brukh) goidshteyn	{"given-name": "brukh", "surname": "goidshteyn", "acronym": "b y"}
Helena Goltsava	{"given-name": "Helena", "surname": "Goltsava"}	heien (hertsviut) goitsv	{"alternative-name": "hertsviut", "surname": "goitsv"}
Sonya Golubchik	{"given-name": "Sonya", "surname": "Golubchik"}	sonye (grenshtat) goiuvtshyk	{"given-name": "sonye", "alternative-name": "grenshtat", "surname": "goiuvtshyk"}
Anna Golubok	{"given-name": "Anna", "surname": "Golubok"}	anna (khnh rubynshteyn) goiuvok	{"given-name": "annh", "alternative-name": "khnh", "surname": "goiuvok"}
B. Gorin	{"given-name": "B.", "surname": "Gorin"}	v (ytskhk goyd-hoyd) goryn	{"given-name": "ytskhk", "alternative-name": "goyd-hoyd", "surname": "goryn", "salutation": "v"}
Eydel Gotfrid	{"given-name": "Eydel", "surname": "Gotfrid"}	eydi (eriykh) gotryd	{"given-name": "eydi", "alternative-name": "eriykh", "surname": "gotryd"}
Clara Gottlieb	{"given-name": "Clara", "surname": "Gottlieb"}	kiara (gershovytsh) gotiyv	{"given-name": "kiara", "alternative-name": "gershovytsh", "surname": "gotiyv"}
Leon Gottlieb	{"given-name": "Leon", "surname": "Gottlieb"}	ieon (ieybush-hrn) gotiyv	{"given-name": "ieon", "alternative-name": "ieybush-hrn", "surname": "gotiyv"}
Louis Silo Gottlieb	{"given-name": "Louis", "middle-name": "Silo", "surname": "Gottlieb"}	iuys syi gotiyv	{"given-name": "iuys", "middle-name": "syi", "surname": "gotiyv"}
Israel Gradner	{"given-name": "Israel", "surname": "Gradner"}	yshri (rozeneid) gradner	{"primary-name": "yshri", "alternative-name": "rozeneid", "surname": "gradner"}
Rachel Gradner	{"given-name": "Rachel", "surname": "Gradner"}	reytshei (reynaids) gradner	{"primary-name": "reytshei", "alternative-name": "reynaids", "surname": "gradner"}
Peter Graf	{"given-name": "Peter", "surname": "Graf"}	pyter (pskhyh) graf	{"given-name": "pytr", "alternative-name": "pskhyh", "surname": "graf"}
Fannie Greenberg	{"given-name": "Fannie", "surname": "Greenberg"}	eny (tomashevsky) grynverg	{"given-name": "eny", "alternative-name": "tomashevsky", "surname": "grynverg"}
Harry Greenblatt	{"given-name": "Harry", "surname": "Greenblatt"}	hersh grynviat	{"primary-name": "hersh grynviat", "surname": "grynviat"}
Rose Greenfield	{"given-name": "Rose", "surname": "Greenfield"}	rz (treytier) gryneid	{"given-name": "rz", "alternative-name": "treytier", "surname": "grynit"}
David Groll	{"given-name": "David", "surname": "Groll"}	dud groii	{"given-name": "dud", "surname": "groii"}
Ida Groper	{"given-name": "Ida", "surname": "Groper"}	eyda (bryh) groper	{"primary-name": "groper", "given-name": "eyda", "alternative-name": "bryh", "surname": "groper"}
Chana Grosberg	{"given-name": "Chana", "surname": "Grosberg"}	khnh (mandeitort) grosverg	{"given-name": "khnh", "alternative-name": "mandeitort", "surname": "grosverg"}
Irving Grossman	{"given-name": "Irving", "surname": "Grossman"}	oyrvyng (ytskhk ieyv) grosman	{"primary-name": "grosman", "given-name": "ytskhk", "alternative-name": "oyrvyng", "middle-name": "ieyv"}
V.M. Grossman	{"given-name": "V.", "middle-name": "M.", "surname": "Grossman"}	v m (dud voif) grosman	{"given-name": "dud", "alternative-name": "v m", "surname": "grosman"}
Avraham Grushkov	{"given-name": "Avraham", "surname": "Grushkov"}	brhm (grushkovsky) grushkov	{"given-name": "brhm", "alternative-name": "grushkovsky", "surname": "grushkov"}
Berta Gutentag	{"given-name": "Berta", "surname": "Gutentag"}	vert (akseirad) gutentag	{"primary-name": "vert", "alternative-name": "aksierad", "surname": "gutentag"}
Mary Gutovitsh	{"given-name": "Mary", "surname": "Gutovitsh"}	mery (myiye tsypkus) gutovytsh	{"given-name": "myiye", "alternative-name": "mery", "surname": "gutovytsh"}
? Haber	{"given-name": "?", "surname": "Haber"}	 hver	{"honorific": "hver"}
Clara Haberman	{"given-name": "Clara", "surname": "Haberman"}	kiara (reyman) haverman	{"primary-name": "haverman", "given-name": "kiara", "alternative-name": "reyman", "surname": "haverman"}
Esther Hadassah	{"given-name": "Esther", "alternative-name": "Hadassah"}	ssr (veynroyb-haipern) hdsh	{"given-name": "ssr", "alternative-name": "veynroyb-haipern", "appellation": "hdsh"}
Beyla Handfus	{"given-name": "Beyla", "surname": "Handfus"}	veyie (ryei) handus	{"given-name": "veyie", "alternative-name": "ryei", "surname": "handus"}
Al. Harris	{"given-name": "Al", "surname": "Harris"}	ai herys	{"primary-name": "ai hhrys", "surname": "hhrys"}
Abe Hart	{"given-name": "Abe", "surname": "Hart"}	eyv (brhm hekht) hart	{"primary-name": "eyv", "given-name": "brhm", "alternative-name": "eyv", "surname": "hekht"}
Bertha Hart	{"given-name": "Bertha", "surname": "Hart"}	vert (mahier) hart	{"primary-name": "vert", "alternative-name": "mahier", "surname": "hart"}
Hersh Hart	{"given-name": "Hersh", "surname": "Hart"}	hersh hart	{"primary-name": "hersh hart"}
Sidney Hart	{"given-name": "Sidney", "surname": "Hart"}	sydny (yusf hersh) hart	{"primary-name": "sydny", "given-name": "yusf", "alternative-name": "hersh", "surname": "hart"}
Moshe Heine-Chaimovich	{"given-name": "Moshe", "middle-name": "Heine", "surname": "Chaimovich"}	mshh heyne-kheymovytsh	{"given-name": "mshh", "surname": "heyne-kheymovytsh"}
Itsik Heller	{"given-name": "Itsik", "surname": "Heller"}	ytsyk (hershkovytsh) heier	{"given-name": "ytsyk", "alternative-name": "hershkovytsh", "surname": "heier"}
Louis Heyman	{"given-name": "Louis", "surname": "Heyman"}	iuys (iuys herman) heyman	{"primary-name": "iuys herman", "given-name": "iuys", "alternative-name": "iuys", "surname": "heymn"}
Devora Hilsberg	{"given-name": "Devora", "surname": "Hilsberg"}	dburh (doreie) hyisverg	{"given-name": "dburh", "alternative-name": "doreie", "surname": "hyisverg"}
Chana Hollander	{"given-name": "Chana", "surname": "Hollander"}	khnh (ynkenti) hoiender	{"given-name": "khnh", "alternative-name": "ynkenti", "surname": "hoiender"}
Clara Honigman	{"given-name": "Clara", "surname": "Honigman"}	kiara (goidenverg) honygman	{"given-name": "kiara", "alternative-name": "goidenverg", "surname": "honygman"}
Mitzi Hope	{"given-name": "Mitzi", "middle-name": "Hope"}	mytsy hope	{"primary-name": "mytsy hope"}
Nathan H. Hornstein	{"given-name": "Nathan", "middle-name": "H.", "surname": "Hornstein"}	neytn h hornshteyn	{"given-name": "neytn"}
Sonya Iris	{"given-name": "Sonya", "middle-name": "Iris"}	sonya (eidman) yrys	{"given-name": "sonya", "alternative-name": "yrys", "surname": "eidman"}
Shabtai Itzkowitz	{"given-name": "Shabtai", "surname": "Itzkowitz"}	shvsy ytskovytsh	{"primary-name": "shvsy ytskovytsh", "given-name": "shvsy", "surname": "ytskovytsh"}
Pinkus Izbesko	{"given-name": "Pinkus", "surname": "Izbesko"}	pynkus (pnkhs yzbesky) yzvesko	{"primary-name": "yzvesko", "given-name": "pynkus", "alternative-name": "pnkhs", "surname": "yzbesky"}
Hyman Jacobowitz	{"given-name": "Hyman", "surname": "Jacobowitz"}	heyman (kheym-nsn) yakuvovytsh	{"given-name": "kheym-nsn", "surname": "ykububyts"}
Betty Jacobs	{"given-name": "Betty", "surname": "Jacobs"}	vety (treyier) dzheykovs	{"given-name": "vety", "alternative-name": "treyier", "surname": "dzheykovs"}
Bessie Jacobson	{"given-name": "Bessie", "surname": "Jacobson"}	vety (beyie shur) dzheykovson	{"primary-name": "vety", "alternative-name": "beyie", "surname": "dzheykovsun"}
Hymie Jacobson	{"given-name": "Hymie", "surname": "Jacobson"}	heymy (kheym-mendi) dzheykavson	{"given-name": "kheym-mendi", "alternative-name": "heymy", "surname": "dzeykvsun"}
Joseph Jacobson	{"given-name": "Joseph", "surname": "Jacobson"}	yusf (yakobzon) dzheykavson	{"given-name": "yusf", "alternative-name": "yakobzon", "surname": "dzheykavson"}
Jeanne Juvelier	{"given-name": "Jeanne", "surname": "Juvelier"}	dzhyn (veia) yoveiyr	{"given-name": "dzhyn", "alternative-name": "veia", "surname": "yoveiyr"}
Tsvi Kahan	{"given-name": "Tsvi", "surname": "Kahan"}	tsby khn	{"given-name": "tsby", "surname": "khn"}
Harry Kalmanowitz	{"given-name": "Harry", "surname": "Kalmanowitz"}	hery kaitsanovytsh	{"primary-name": "hery kaitsanvytsh", "surname": "kaitsanvytsh"}
Israel Kamai	{"given-name": "Israel", "surname": "Kamai"}	yshri kmy	{"given-name": "yshri", "surname": "kmy"}
Leopold Kanner	{"given-name": "Leopold", "surname": "Kanner"}	ieopoid (ieyv) kaner	{"primary-name": "ieopoid", "alternative-name": "ieyv", "surname": "kaner"}
Sam Kaplan	{"given-name": "Sam", "surname": "Kaplan"}	sem (zkhryh) kapian	{"given-name": "zkhryh", "alternative-name": "sem", "surname": "kapian"}
Liba Karlik	{"given-name": "Liba", "surname": "Karlik"}	iyve (iyna) kariyk	{"given-name": "iyve", "alternative-name": "iyna", "surname": "kariyk"}
Dora Karpinovitsh	{"given-name": "Dora", "surname": "Karpinovitsh"}	dora (dburh) krpynovytsh	{"given-name": "dora", "alternative-name": "dburh", "surname": "krpynovytsh"}
Suzi Kasten	{"given-name": "Suzi", "surname": "Kasten"}	suzy (syiver) kestyn	{"given-name": "suzy", "alternative-name": "syiver", "surname": "kestyn"}
Izak Kasvan	{"given-name": "Izak", "surname": "Kasvan"}	yzak (ytskhk) kasvn	{"given-name": "ytskhk", "alternative-name": "yzak", "surname": "kasvn"}
Isaac Katz	{"given-name": "Isaac", "surname": "Katz"}	yzak kts	{"primary-name": "yzak kts", "given-name": "yzak", "surname": "kts"}
Michael Katz	{"given-name": "Michael", "surname": "Katz"}	mykhi kts	{"given-name": "mykhi", "surname": "kts"}
Morris Kenig	{"given-name": "Morris", "surname": "Kenig"}	morys (khiyvner) kenyg	{"given-name": "morys", "alternative-name": "khiyvner", "surname": "kenyg"}
Khaim-Yosef Keymon	{"given-name": "Khaim-Yosef", "surname": "Keymon"}	yusf (osyp) kamyen	{"given-name": "yusf", "alternative-name": "asyp", "surname": "kamyen"}
Khaklai	{"given-name": "Khaklai"}	khkiy (eidman)	{"primary-name": "khkiy", "alternative-name": "eidman"}
[?] Khalan-Khalanov	{"given-name": "[?]", "surname": "Khalan-Khalanov"}	 khaian-khaianov	{"given-name": "khaian", "surname": "khianuv"}
Misha Khasin	{"given-name": "Misha", "surname": "Khasin"}	mysh khsyn	{"primary-name": "mysh khsyn"}
Yosef Kigel	{"given-name": "Yosef", "surname": "Kigel"}	yusf kygei	{"given-name": "yusf", "surname": "kygei"}
Moshe Michal Kitai	{"given-name": "Moshe", "middle-name": "Michal", "surname": "Kitai"}	mshh-mykhi kytay	{"primary-name": "mshh-mykhi", "given-name": "mshh", "middle-name": "mykhi", "surname": "kytay"}
Paulina Kobrin	{"given-name": "Paulina", "surname": "Kobrin"}	paiyna (segai) kobryn	{"given-name": "paiyna", "alternative-name": "segai", "surname": "kobryn"}
Leah Kompaneyets	{"given-name": "Leah", "surname": "Kompaneyets"}	ih (gotiyv) kompaneets	{"given-name": "ih", "alternative-name": "gotiyv", "surname": "kompaneets"}
Berta Kornfeld	{"given-name": "Berta", "surname": "Kornfeld"}	berta (bsyh kuryer) korneid	{"given-name": "berta", "alternative-name": "bsyh", "surname": "korneid", "matronymic": "bsyh"}
Matisyahu Kovalski	{"given-name": "Matisyahu", "surname": "Kovalski"}	mssyhu (kovai) kovaisky	{"primary-name": "kovaisky", "given-name": "mssyhu", "alternative-name": "kovai", "surname": "kovaisky"}
Philip Krantz	{"given-name": "Philip", "surname": "Krantz"}	yiyp (ytskhk romvro) krants	{"primary-name": "yiyp", "given-name": "ytskhk", "alternative-name": "yiyp", "surname": "krants", "patronymic": "romvro"}
Solomon Krause	{"given-name": "Solomon", "surname": "Krause"}	shimh kroyze	{"given-name": "shimh", "surname": "kroyze"}
Leah Krause-Miller	{"given-name": "Leah", "maiden-surname": "Krause", "surname": "Miller"}	ih (ioyiand) kroyze-myier	{"primary-name": "kroyze-myier", "given-name": "ih", "alternative-name": "ioyiand", "surname": "kroyze-myier"}
Yasha Kreitzberg	{"given-name": "Yasha", "surname": "Kreitzberg"}	yasha (saksansky) kreytsnerg	{"primary-name": "kreytsnerg", "given-name": "yasha", "alternative-name": "saksansky", "surname": "kreytsnerg"}
Leon Kuperman	{"given-name": "Leon", "surname": "Kuperman"}	ieon (ysheyh-ryh) kuperman	{"primary-name": "ieon", "alternative-name": "ysheyh-ryh", "surname": "kuperman"}
Sabina Lakser	{"given-name": "Sabina", "surname": "Lakser"}	savyna (shrh) iakser	{"given-name": "shrh", "alternative-name": "savyna", "surname": "iakser"}
Yehudis Lares	{"given-name": "Yehudis", "surname": "Lares"}	yhudys (rbkh khanenzohn) iares	{"primary-name": "yhudys", "alternative-name": "rbkh", "surname": "iares"}
Berta Latovitsh	{"given-name": "Berta", "surname": "Latovitsh"}	verta (veyie gurevytsh) iatovytsh	{"given-name": "verta", "alternative-name": "veyie", "surname": "iatovytsh", "matronymic": "gurevytsh"}
Jennie Lavitz	{"given-name": "Jennie", "surname": "Lavitz"}	dzheny (shmyiovytsh) ivyts	{"given-name": "dzheny", "alternative-name": "shmyiovytsh", "surname": "ivyts"}
Pepi Lavitz	{"given-name": "Pepi", "surname": "Lavitz"}	pepy (pipui) iavyts	{"given-name": "pepy", "alternative-name": "pipui", "surname": "iavyts"}
Chana Lazar-Ingard	{"given-name": "Chana", "surname": "Lazar-Ingard"}	khnh (rakover) iazar-yngard	{"given-name": "khnh", "alternative-name": "rakover", "surname": "iazar-yngard"}
Elias Lazarov	{"given-name": "Elias", "surname": "Lazarov"}	eiyas (iyezr shayr) iazarov	{"given-name": "eiyas", "alternative-name": "iyezr shayr", "surname": "iazarov"}
Feige Lazarov	{"given-name": "Feige", "surname": "Lazarov"}	eyge (krynytsaya) iazarov	{"given-name": "eyge", "alternative-name": "krynytsaya", "surname": "iazarov"}
Vera Lebedeff	{"given-name": "Vera", "surname": "Lebedeff"}	vyera (rbkh shekhtman) ievedyev	{"primary-name": "vyera", "given-name": "rbkh", "alternative-name": "vyera", "surname": "shekhtman", "nisba": "ievedyev"}
Der Lebediger	{"alternative-name": "Der Lebediger"}	der (kheym gutman) ievedyger	{"primary-name": "ievedyger", "given-name": "kheym", "alternative-name": "kh", "surname": "gutman"}
Adolf Lehrer	{"given-name": "Adolf", "surname": "Lehrer"}	adoif (hrn) iehrer	{"given-name": "duif", "alternative-name": "hrn", "surname": "iehrer"}
Daniel Leibel	{"given-name": "Daniel", "surname": "Leibel"}	dnyi ieyvi	{"given-name": "dnyi", "surname": "ieyvi"}
Tsile Leibovitsh	{"given-name": "Tsile", "surname": "Leibovitsh"}	tsyiye ieybovytsh	{}: 
H. Leivick	{"given-name": "H.", "surname": "Leivick"}	h (ieyvyk haiper) ieyvyk	{"given-name": "ieyvyk", "alternative-name": "haiper", "surname": "ieyvyk"}
S. Lemberg	{"given-name": "S.", "surname": "Lemberg"}	s (sara eynshteyn) iemverg	{"given-name": "sara", "alternative-name": "eynshteyn", "surname": "iemverg", "honorific": "s"}
Maria Lerner	{"given-name": "Maria", "surname": "Lerner"}	marya (mrym ravyovytsh) ierner	{"primary-name": "marya", "given-name": "mrym", "alternative-name": "marya", "surname": "ierner", "patronymic": "ravyovytsh"}
Feyga Levando	{"given-name": "Feyga", "surname": "Levando"}	eyge (ievyn) ievando	{"given-name": "eyge", "alternative-name": "ievyn", "surname": "ievando"}
Fannie Levenshteyn	{"given-name": "Fannie", "surname": "Levenshteyn"}	eny (periman) ievenshteyn	{"given-name": "eny", "alternative-name": "periman", "surname": "ievenshteyn"}
Isidor Levenstein	{"given-name": "Isidor", "surname": "Levenstein"}	yzydor (rym-ytskhk) ievenshteyn	{"given-name": "yzydor", "alternative-name": "rym-ytskhk", "surname": "ievenshteyn"}
Lucy Levin	{"given-name": "Lucy", "surname": "Levin"}	iusy (iyve) ievyn	{"given-name": "iusy", "alternative-name": "iyve", "surname": "ievyn"}
Anna Levine	{"given-name": "Anna", "surname": "Levine"}	anna (ievenshteyn) ievyn	{"given-name": "anna", "alternative-name": "ievenshteyn", "surname": "ievyn"}
Ludvig Levinzon	{"given-name": "Ludvig", "surname": "Levinzon"}	iudvyg (ryh-ieyv) ievynzon	{"given-name": "iudvyg", "alternative-name": "ryh-ieyv", "surname": "ievynzon"}
Max Levy	{"given-name": "Max", "surname": "Levy"}	maks iyvey	{"given-name": "maks", "surname": "iyvey"}
A. Leyb	{"given-name": "A.", "surname": "Leyb"}	 (brhm-mrdkhy) ieyb	{"given-name": "brhm-mrdkhy", "surname": "ieyb", "acronym": ""}
A. Leyeles	{"given-name": "A.", "surname": "Leyeles"}	 (hrn giats) ieyeies	{"given-name": "hrn", "alternative-name": "giats", "surname": "ieyeies", "honorific": ""}
Z. Libin	{"given-name": "Z.", "surname": "Libin"}	z (yshri-zimn hyrvytsh) iyvyn	{"given-name": "yshri-zimn", "surname": "iyvyn", "matronymic": "hyrvytsh", "acronym": "z"}
Paul Libman	{"given-name": "Paul", "surname": "Libman"}	pui (ytskovsky) iyvman	{"given-name": "pui", "alternative-name": "ytskovsky", "surname": "iyvman"}
David Licht	{"given-name": "David", "surname": "Licht"}	dud (dnyi renki) iykht	{"primary-name": "dud", "given-name": "dnyi", "alternative-name": "dud", "surname": "iykht"}
Moritz Lieblich	{"given-name": "Moritz", "surname": "Lieblich"}	moryts (ytskhk-mshh) iyviykh	{"primary-name": "moryts", "given-name": "ytskhk-mshh", "alternative-name": "ytskhk-mshh", "surname": "iyviykh"}
Miriam Lifshits	{"given-name": "Miriam", "surname": "Lifshits"}	myryom (shumsky) iypshyts	{"primary-name": "myryom", "alternative-name": "shumsky", "surname": "iypshyts"}
Liliput	{"given-name": "Liliput"}	iyiyput (gbryi-hyrsh kretshmer)	{"primary-name": "iyiyput", "given-name": "gbryi", "alternative-name": "hyrsh", "surname": "kretshmer"}
Ola Lilith	{"given-name": "Ola", "middle-name": "Lilith"}	oiya (ioiya tsedervoym) iyiys	{"given-name": "oiya", "alternative-name": "ioi tsedervoym", "surname": "iyiys"}
Paul Liman	{"given-name": "Paul", "surname": "Liman"}	pui (ieybovytsh) iyman	{"primary-name": "iyman", "given-name": "pui", "alternative-name": "ieybovytsh"}
N.B. Linder	{"given-name": "N.", "middle-name": "B.", "surname": "Linder"}	n v (nsn viynder) iynder	{"given-name": "nsn", "alternative-name": "biyndr", "surname": "iyndr", "acronym": "n v"}
Natalia Lipman	{"given-name": "Natalia", "surname": "Lipman"}	nataiya (neytshe eivoym) iypman	{"given-name": "nataiya", "alternative-name": "neytshe", "surname": "iypman"}
M. Lipson	{"given-name": "M.", "surname": "Lipson"}	m (mrdkhy yavorovsky) iypson	{"given-name": "mrdkhy", "alternative-name": "yavorovsky", "surname": "iypson", "honorific": "m"}
Celia Lipzin	{"given-name": "Celia", "surname": "Lipzin"}	syiye (peker) iyptsyn	{"given-name": "syiye", "alternative-name": "peker", "surname": "iyptsyn"}
Annie Litan	{"given-name": "Annie", "surname": "Litan"}	eny (khnh iypman) iytn	{"given-name": "khnh", "alternative-name": "eny", "surname": "iytn", "matronymic": "iypmn"}
Pepi Littman	{"given-name": "Pepi", "surname": "Littman"}	pepy (peshe kahane) iytman	{"given-name": "pepy", "alternative-name": "peshe kahane", "surname": "iytman"}
Yetta Littman	{"given-name": "Yetta", "surname": "Littman"}	yeta (zyiverman) iytman	{"given-name": "yeta", "alternative-name": "zyiverman", "surname": "iytman"}
L. Litvinov	{"given-name": "L.", "surname": "Litvinov"}	i (ieyv gurevytsh) iytvynov	{"given-name": "ieyv", "alternative-name": "gurevytsh", "surname": "iytvynov", "acronym": "i"}
Malvina Lobel	{"given-name": "Malvina", "surname": "Lobel"}	maivyna (treytier) iovei	{"primary-name": "maivyna", "alternative-name": "treytier", "surname": "iovei"}
Solomon Lobel	{"given-name": "Solomon", "surname": "Lobel"}	soiomon (ieyvei) iovei	{"primary-name": "soiomon", "alternative-name": "ieyvei", "surname": "iovei"}
Leo Loew	{"given-name": "Leo", "surname": "Loew"}	ieo (mshh-ieyv) iyov	{"given-name": "mshh-ieyv", "alternative-name": "ieo", "surname": "iyov"}
Regina Lubartovska	{"given-name": "Regina", "surname": "Lubartovska"}	regyna (rbkh) iuvartovska	{"given-name": "regyna", "alternative-name": "rbkh", "surname": "iuvartovska"}
Annie Lubin	{"given-name": "Annie", "surname": "Lubin"}	eny (hendzhya iuvmyak) iuvyn	{"given-name": "eny", "alternative-name": "hendzhya iuvmyak", "surname": "iuvyn"}
Harry Lubin	{"given-name": "Harry", "surname": "Lubin"}	hery (hershi ioygzaits) iuvyn	{"primary-name": "hery", "alternative-name": "hershi", "surname": "iuvyn"}
Leon Lubinski	{"given-name": "Leon", "surname": "Lubinski"}	ieon (ieybush) iubynsky	{"primary-name": "iubynsky", "given-name": "ieon", "alternative-name": "ieybush"}
